"",Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters,Embedding Dimensions,Max Tokens,Clustering,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Instruction Retrieval,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
237,238,[bge-small-zh](https://huggingface.co/BAAI/bge-small-zh),100%,127,33M,512,512,,,,,,,,,,,
238,239,[ritrieve_zh_v1](https://huggingface.co/richinfoai/ritrieve_zh_v1),93%,1242,326M,1792,512,,,,,,,,,,,
239,240,flan-t5-large,100%,2987,783M,Unknown,1024,,,,,,4.72,,,,,
240,241,monot5-3b-msmarco-10k,⚠️ NA,Unknown,Unknown,Unknown,Unknown,,,,,,2.53,,,,,
241,242,[Tooka-SBERT](https://huggingface.co/PartAI/Tooka-SBERT),100%,1347,353M,1024,512,,,,,,,,,,,
242,243,[Arabic-Triplet-Matryoshka-V2](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-Triplet-Matryoshka-V2),100%,516,135M,768,768,,,,,,,,,,,
243,244,[e5-R-mistral-7b](https://huggingface.co/BeastyZ/e5-R-mistral-7b),99%,27625,7B,4096,32768,,,,,,,,,,,
244,245,[fabert](https://huggingface.co/sbunlp/fabert),100%,475,124M,768,512,,,,,,,,,,,
245,246,[TookaBERT-Base](https://huggingface.co/PartAI/TookaBERT-Base),100%,469,122M,768,512,,,,,,,,,,,
246,247,[bert-base-parsbert-uncased](https://huggingface.co/HooshvareLab/bert-base-parsbert-uncased),100%,621,162M,768,512,,,,,,,,,,,
247,248,flan-t5-base,100%,944,248M,768,Unknown,,,,,,0.64,,,,,
248,249,monot5-base-msmarco-10k,⚠️ NA,Unknown,Unknown,Unknown,Unknown,,,,,,-1.74,,,,,
249,250,[bert-zwnj-wnli-mean-tokens](https://huggingface.co/m3hrdadfi/bert-zwnj-wnli-mean-tokens),100%,451,118M,768,512,,,,,,,,,,,
250,251,[roberta-zwnj-wnli-mean-tokens](https://huggingface.co/m3hrdadfi/roberta-zwnj-wnli-mean-tokens),100%,451,118M,768,514,,,,,,,,,,,
251,252,[mxbai-embed-xsmall-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-xsmall-v1),100%,Unknown,24M,384,512,,,,,,,,,,,
252,253,[bm25s](https://github.com/xhluca/bm25s),⚠️ NA,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,
253,254,monobert-large-msmarco,⚠️ NA,Unknown,Unknown,Unknown,Unknown,,,,,,-3.47,,,,,
254,255,[sentence-transformer-parsbert-fa](https://huggingface.co/myrkur/sentence-transformer-parsbert-fa),100%,621,162M,768,512,,,,,,,,,,,
255,256,[text2vec-base-chinese-paraphrase](https://huggingface.co/shibing624/text2vec-base-chinese-paraphrase),100%,450,118M,768,512,,,,,,,,,,,
256,257,[m3e-small](https://huggingface.co/moka-ai/m3e-small),99%,Unknown,Unknown,512,512,,,,,,,,,,,
257,258,[pubmedbert-base-embeddings-2M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-2M),100%,7,1M,64,Infinite,,,,,,,,,,,
